date,treatment,tray,tube.1,tube.2,tube.3,tube.4,tube.5,tube.6,tube.7,tube.8,tube.9,tube.10,sum.cells
2015-05-23T00:00:00Z,Csb,5,0,0,0,0,0,0,0,0,1,0,1
2015-05-23T00:00:00Z,Csb,6,0,0,0,0,0,0,0,0,0,0,0
2015-05-23T00:00:00Z,Csb,7,1,0,0,0,0,1,0,0,0,0,2
2015-05-23T00:00:00Z,Csb,8,1,0,0,0,0,0,0,0,0,0,1
2015-05-23T00:00:00Z,Csb,9,0,0,0,0,0,0,0,0,0,0,0
2015-05-23T00:00:00Z,Csb,10,0,0,1,1,1,0,1,1,0,0,5
2015-05-26T00:00:00Z,Csb,1,0,0,0,0,0,0,0,0,0,0,0
2015-05-26T00:00:00Z,Csb,2,0,0,0,0,0,0,0,0,0,0,0
2015-05-26T00:00:00Z,Csb,3,0,0,0,0,0,0,0,1,0,0,1
2015-05-26T00:00:00Z,Csb,4,0,0,0,0,0,0,0,0,0,0,0
2015-05-26T00:00:00Z,Csb,5,0,0,0,0,0,0,0,0,0,0,0
2015-05-26T00:00:00Z,Csb,6,0,0,0,0,0,0,0,0,0,1,1
2015-05-26T00:00:00Z,Csb,7,0,0,0,0,0,0,0,0,0,0,0
2015-05-26T00:00:00Z,Csb,8,0,0,0,0,0,0,0,0,0,0,0
2015-05-26T00:00:00Z,Csb,9,0,0,0,0,0,0,0,0,0,0,0
2015-05-26T00:00:00Z,Csb,10,0,0,0,0,0,0,0,0,0,0,0
2015-05-29T00:00:00Z,Csb,1,1,0,0,0,0,0,1,1,0,0,3
2015-05-29T00:00:00Z,Csb,2,0,0,0,0,1,0,0,2,0,0,3
2015-05-29T00:00:00Z,Csb,3,0,0,0,0,0,0,0,0,0,0,0
2015-05-29T00:00:00Z,Csb,4,0,0,0,0,0,0,0,0,0,0,0
2015-05-29T00:00:00Z,Csb,5,0,0,0,0,0,0,0,0,0,0,0
2015-05-29T00:00:00Z,Csb,6,0,0,0,0,1,2,0,0,0,1,4
2015-05-29T00:00:00Z,Csb,7,0,0,0,0,0,0,0,0,0,0,0
2015-05-29T00:00:00Z,Csb,8,0,0,0,0,0,0,0,0,0,0,0
2015-05-29T00:00:00Z,Csb,9,0,0,0,0,0,0,0,0,0,0,0
2015-05-29T00:00:00Z,Csb,10,0,0,0,0,0,0,0,1,0,0,1
2015-04-26T00:00:00Z,Csc,1,0,0,0,0,0,0,0,0,0,0,0
2015-04-26T00:00:00Z,Csc,2,0,0,0,0,0,0,0,0,0,0,0
2015-04-26T00:00:00Z,Csc,3,0,0,0,0,0,0,0,0,0,0,0
2015-04-26T00:00:00Z,Csc,4,0,0,0,0,0,0,0,0,0,0,0
2015-04-26T00:00:00Z,Csc,5,0,0,0,0,0,0,0,0,0,0,0
2015-04-26T00:00:00Z,Csc,6,0,0,0,0,0,0,0,0,0,0,0
